Name,Folder,Steps,Expected,Id
Создание яндекс-документа,"""[Story] — Создание яндекс-файла в «Создать файл»""","В воркспейсе подключён Яндекс Диск; сотрудник открыл «Создать файл», выбирает документ и проходит шаг названия",создан яндекс-документ,tc-5374161-1
Без Яндекс Диска файл не создаётся,"""[Story] — Создание яндекс-файла в «Создать файл»""",Яндекс Диск в воркспейсе не подключён; сотрудник открыл «Создать файл» и пытается создать яндекс-файл,яндекс-файл не создаётся,tc-5374161-2
Google-документ без регрессии,"""[Story] — Создание яндекс-файла в «Создать файл»""",В воркспейсе подключён Google Диск; сотрудник открыл «Создать файл» и создаёт документ,"создаётся Google-файл, как сейчас",tc-5374161-3
Яндекс-документ во вложениях,"""[Story] — Создание яндекс-файла в «Создать файл»""",В воркспейсе подключён Яндекс Диск; сотрудник создал яндекс-документ через «Создать файл»,"файл доступен во вложениях, как сейчас созданный Google-файл",tc-5374161-4
Создание яндекс-таблицы,"""[Story] — Создание яндекс-файла в «Создать файл»""","В воркспейсе подключён Яндекс Диск; сотрудник открыл «Создать файл», выбирает таблицу и проходит шаг названия",создана яндекс-таблица,tc-5374161-5
Яндекс-таблица во вложениях,"""[Story] — Создание яндекс-файла в «Создать файл»""",В воркспейсе подключён Яндекс Диск; сотрудник создал яндекс-таблицу через «Создать файл»,"файл доступен во вложениях, как сейчас созданный Google-файл",tc-5374161-6
Создание яндекс-презентации,"""[Story] — Создание яндекс-файла в «Создать файл»""","В воркспейсе подключён Яндекс Диск; сотрудник открыл «Создать файл», выбирает презентацию и проходит шаг названия",создана яндекс-презентация,tc-5374161-7
Яндекс-презентация во вложениях,"""[Story] — Создание яндекс-файла в «Создать файл»""",В воркспейсе подключён Яндекс Диск; сотрудник создал яндекс-презентацию через «Создать файл»,"файл доступен во вложениях, как сейчас созданный Google-файл",tc-5374161-8
Ограничение без Яндекс Диска,"""[Story] — Создание яндекс-файла в «Создать файл»""",Яндекс Диск в воркспейсе не подключён; сотрудник открыл «Создать файл»,"класс ограничения в «Создать файл» такой же, как сейчас при создании файла без Google Диска",tc-5374161-9
При Google Диске яндекс не создаётся,"""[Story] — Создание яндекс-файла в «Создать файл»""",В воркспейсе подключён Google Диск; сотрудник открыл «Создать файл» и создаёт документ,яндекс-файл не создаётся,tc-5374161-10
Открытие в редакторе Яндекс,"""[Story] — Создание яндекс-файла в «Создать файл»""",Во вложениях есть созданный яндекс-файл; сотрудник открывает файл,файл открывается в редакторе Яндекс файлов,tc-5374161-11
