Name,Folder,Steps,Expected,Id
Android: пункт «Настройки меню»,[Story] - Настройка нижнего меню в мобильном приложении,Открыть экран «Настройки» в Android,"в списке пункты «Персональные данные», «Безопасность», «Уведомления», «Язык и регион», «Настройки меню», «Удалить аккаунт» (красный); нижняя панель: «Дашборд», «Клиенты», «Задачи», «Сделки», «Еще», выбран «Еще».",tc-5210629-1
iOS: пункт «Настройки меню»,[Story] - Настройка нижнего меню в мобильном приложении,Открыть экран «Настройки» в iOS,"в списке те же пункты, включая «Настройки меню» между «Язык и регион» и «Удалить аккаунт».",tc-5210629-2
iOS: открыть «Настройки меню»,[Story] - Настройка нижнего меню в мобильном приложении,Нажать «Настройки меню» в iOS,открывается экран «Настройки меню».,tc-5210629-3
Android: открыть «Настройки меню»,[Story] - Настройка нижнего меню в мобильном приложении,Нажать «Настройки меню» в Android,открывается экран «Настройки меню».,tc-5210629-4
Полный пул на экране настройки,[Story] - Настройка нижнего меню в мобильном приложении,Открыть «Настройки меню» при полном пуле,"helper «Перетаскивайте и располагайте пункты меню в нужном порядке. Раздел «Еще» по умолчанию закреплен последним пунктом в меню.»; секция «Меню»: «Дашборд», «Клиенты», «Задачи», «Сделки», «Еще»; секция «Раздел «Еще»»: «Справочники», «CRM»; у строк обеих секций есть drag handle.",tc-5210629-5
Только шесть разделов пула,[Story] - Настройка нижнего меню в мобильном приложении,"Открыть настройку, когда по правам видны все шесть разделов навигации","на экране только «Дашборд», «Клиенты», «Задачи», «Сделки», «Справочники», «CRM»; других разделов из пула нет.",tc-5210629-6
Пять разделов без CRM,[Story] - Настройка нижнего меню в мобильном приложении,"Открыть настройку, когда «CRM» нет в навигации, а остальные пять разделов доступны","на экране пять разделов, «CRM» отсутствует; пользователь распределяет их как 4 на нижней панели и 1 в «Ещё».",tc-5210629-7
4 на панели и 2 в «Ещё»,[Story] - Настройка нижнего меню в мобильном приложении,При шести доступных разделах открыть настройку и нижнюю панель,"на панели ровно 4 раздела из пула плюс кнопка «Ещё», в «Ещё» ровно 2 раздела.",tc-5210629-8
Все разделы без дублей,[Story] - Настройка нижнего меню в мобильном приложении,Просмотреть нижнюю панель и содержимое «Ещё» после настройки,"каждый доступный раздел пула показан либо на панели, либо в «Ещё», без дублей и без скрытых доступных разделов.",tc-5210629-9
Порядок секции «Меню»,[Story] - Настройка нижнего меню в мобильном приложении,Long press and drag раздела в секции «Меню» в другой порядок,порядок разделов на нижней панели меняется.,tc-5210629-10
Порядок секции «Раздел «Еще»»,[Story] - Настройка нижнего меню в мобильном приложении,Long press and drag раздела в секции «Раздел «Еще»» в другой порядок,порядок разделов в «Ещё» меняется.,tc-5210629-11
«Ещё» не перетаскивается,[Story] - Настройка нижнего меню в мобильном приложении,Попытаться перетащить кнопку «Ещё»,«Ещё» недоступна для перетаскивания и остаётся последним пунктом секции «Меню» / нижней панели.,tc-5210629-12
Автосохранение после переноса,[Story] - Настройка нижнего меню в мобильном приложении,Перетащить раздел между «Меню» и «Раздел «Еще»» или изменить порядок,система автоматически сохраняет изменения без отдельного подтверждения сохранения.,tc-5210629-13
Диалог сброса порядка,[Story] - Настройка нижнего меню в мобильном приложении,"Нажать иконку сброса в верхней панели «Настройки меню» (Android icon/bar/reset, iOS icon/reset filter)",диалог «Сбросить порядок меню до настроек по умолчанию?» с кнопками «Нет» и «Да».,tc-5210629-14
Сброс: «Нет»,[Story] - Настройка нижнего меню в мобильном приложении,В диалоге сброса нажать «Нет»,"диалог закрывается, текущая раскладка не меняется.",tc-5210629-15
Сброс: «Да»,[Story] - Настройка нижнего меню в мобильном приложении,В диалоге сброса нажать «Да»,раскладка сбрасывается на порядок по умолчанию.,tc-5210629-16
Панель совпадает с раскладкой,[Story] - Настройка нижнего меню в мобильном приложении,После сохранения открыть нижнюю панель и «Ещё»,состав и порядок совпадают с выбранной раскладкой.,tc-5210629-17
Раскладка по умолчанию,[Story] - Настройка нижнего меню в мобильном приложении,Открыть приложение без сохранённой раскладки при доступе ко всем шести разделам,"на панели «Дашборд», «Клиенты», «Задачи», «Сделки» и «Ещё»; в «Ещё» — «Справочники» и «CRM».",tc-5210629-18
"Справочники на панель, Сделки в «Ещё»",[Story] - Настройка нижнего меню в мобильном приложении,"При всех шести разделах и раскладке по умолчанию перенести «Справочники» на панель, «Сделки» в «Ещё»","на панели «Дашборд», «Клиенты», «Задачи», «Справочники» и «Ещё»; в «Ещё» — «Сделки» и «CRM».",tc-5210629-19
«Задачи» первыми на панели,[Story] - Настройка нижнего меню в мобильном приложении,При раскладке по умолчанию поставить «Задачи» первыми на панели,«Задачи» первые на нижней панели; набор разделов на панели и в «Ещё» не меняется.,tc-5210629-20
Раскладка совпадает на iOS и Android,[Story] - Настройка нижнего меню в мобильном приложении,Сохранить раскладку на одном устройстве и открыть приложение под тем же аккаунтом на другой платформе (iOS ↔ Android),нижняя панель и «Ещё» показывают ту же раскладку.,tc-5210629-21
